username,phone,name,address,career,info_company,info_biz,key
msk819@naver.com,052.249.3682,이노솔루션,울산 울주군 범서읍 대리로 111, 2007.11.01,"튜브 및 튜브피팅, 열교환기, 샘플링 시스템 엔지니어링 업체입니다.",,#튜브#FITTING#열교환기#샘플링#울산
mail@mail.com,052.254.1801,한국특수연마공업사,울산광역시 울주군 삼남면 공암공단로 16-1 (총 2 필지), 1998.04.24,연마 절단 지석 전문 업체,,
mail@mail.com,052.289.0443,덕산하이메탈(주),"울산광역시 북구 무룡1로 66 (연암동, 덕산하이메탈(주)) (총 2 필지)", 2004.10.28,"솔더볼, 코어솔더볼, 솔더파우더, 플럭스, 솔더페이스트",,
,052.287.8022,대원강업(주),"울산광역시 북구 송도길 25 (효문동, 대원스프링) (총 2 필지)", 2010.12.22,차량용의자,,
,052.208.3361,SK종합화학(주) 본공장,"울산광역시 남구 신여천로 2 (고사동, SK(주))", 2011.04.04,세계속의 종합에너지 화학기업 SK종합화학,,
,052.269.7511,원진산업,울산광역시 울주군 웅촌면 고연공단2길 5-1, 2007.07.04,철가공품,,
,052.288.1598,(주)동남산기,울산광역시 북구 염포로 260-23 (효문동), 2015.08.05,"자동화시스템, 자동차부품",,
,052.238.5885,케이오씨(주),"울산광역시 울주군 온산읍 이진로 67-34, (총 3 필지)", 1995.08.01,"하이드라진,하이드레이트",,
,052.227.8230,경은기전,울산광역시 남구 화합로71번길 11-20 (야음동), 2010.11.29,전기판넬,,
,052.264.2210,거영산업,울산광역시 울주군 웅촌면 고연로 183-20, 2003.07.01,자동차부품,,
,052.287.4203,(주)청림엔지니어링,울산광역시 북구 중산산업2길 36 (중산동), 2015.04.27,자동화설비,,
,052.296.6055,월드시스템,울산광역시 북구 농공단지5길 23 (달천동), 2018.06.26,"자동화 전기 판넬, 컨베어시스템",,
,052.922.7226,(주)솔레코텍,울산광역시 울주군 웅촌면 고연공단3길 7, 2006.07.28,금속가공제품(PLATE),,
,052.238.9400,케이디케미칼(주),울산광역시 울주군 온산읍 회학3길 56-5, 2013.09.06,"PAC, 요소수",,
,052.287.5530,(주)시스코피엔시,울산광역시 울주군 언양읍 반천산업로 97, 2015.07.22,"전동기,발전기 전기변환장치/배전반, 부스덕트(BUS DUCT)",,
,052.263.0511,(주)파텍스,"울산광역시 북구 매곡산업1길 6 (매곡동, 휘문기연)", 2012.10.22,자동화기기외,,
,052.298.4541,대영기공,"울산광역시 북구 농공단지3길 45 (달천동, 대명기공)", 2000.02.03,"압력용기 저장탱크, 기계기구, 제관",,
,052.225.0780,(주)고려인슈,울산광역시 울주군 웅촌면 고연로 98-10 (총 2 필지), 2008.12.05,보온단열재,,
,052.238.5600,신양철강,울산광역시 울주군 온산읍 회학2길 34, 2014.04.04,"파이프, 씨형광",,
,052.227.7670,서림목재산업,울산광역시 울주군 웅촌면 반계길 80, 2008.11.26,판재 및 각재,,
,052.295.7444,진광산업기계(주),"울산광역시 북구 매곡산업로 75 (매곡동, 진광산업기계(주))", 2006.08.25,"크라샤,컨베이어",,
,052.254.4501,민트상사,울산광역시 울주군 삼남면 마산보들길 87, 2000.07.27,곡면유리,,
,052.260.5481,(주)태경공조,울산광역시 울주군 온산읍 처용산업2길 54, 2011.11.14,금속가공부착물(덕트환기통),,
,052.264.0410,(주)태봉산업,울산광역시 울주군 삼남면 신화리로 142, 2000.07.27,자동차부품,,
,052.282.7486,스코아(주),울산광역시 북구 매곡산업6길 24 (매곡동), 2015.12.03,자동차 헤드레스트 커버,,
,052.287.4824,인성기공(주),"울산광역시 북구 효천3길 15 (효문동, 인성기공)", 1994.10.12,콘베이어 자동화 장비,,
,052.269.3511,코스트(주),"울산광역시 울주군 웅촌면 밭마당길 28,  외11필지", 2009.06.16,자동차부품(담수화플랜트용 내식튜브및열교환기),,
,052.288.2380,정원기계(주) 지점,"울산광역시 북구 모듈화산업로 238 (연암동, 정원기계(주))", 2011.02.17,전동축,,
