username,phone,name,address,career,info_company,info_biz,key
sip-korea@naver.com,032.214.0761,(주)에스아이피,인천 연수구 송도과학로 32 (송도동), 1985.05.01,"공장직영, 화장품용기, 펌프, 캡, 스프레이, 제약, PET용기 맞춤제작",제작 : 용품 제작/,#화장품용기#펌프#캡#스프레이#PET
macm@kakao.com,010.9108.0323,엠에씨엠,경기 부천시 부천로198번길 18 (춘의동), ,아이디어를 제품으로 / 양산을 자동으로 / 중국제 조각기 레이져 판매 및 수리 / 캠교육,,#3d설계#전용기제작#제품디자인#중국목업#중국금형
secretshk@naver.com,070.8184.6700,(주)시크릿허브코리아,경기 용인시 기흥구 구성로 357 (청덕동), 2017.05.29,"화장품 허브원료(여드름케어, 아토피케어, 안티에이징 등)",기타 업종 : 화학/,#기초화장품#여드름케어#아토피케어#안티에이징#개별화장품
5695107@nate.com,02.461.3977,(주)코네오,서울 강남구 도산대로 107 (신사동), ,"미래형 의료기기 제조 업체 고압산소챔버전문 제조,개발업체",제작 : 기구 제작/개발 : 기타 개발/유통 판매 : 마케팅/,#고압산소치료기#산소발생기#의료기기#의료기#보비
dyokhpd@naver.com,031.5183.4524,답스(DOBBS),경기 화성시 동탄첨단산업1로 14 (영천동), ,홈케어 및 기타 산업용 나노코팅제 제조업체 답스(DOBBS) 입니다.,개발 : 기타 개발/,#욕실나노코팅제#유리발수코팅제#홈케어나노코팅제#나노코팅기술#욕실코팅
lightiger0129@naver.com,010.4422.0049,주식회사오른,경기 안성시 삼죽면 개내실길 56-8, ,"포장지, 포대, 박스를 생산하는 (주)오른 입니다!",제작 : 기타 제작/개발 : 디자인/서비스 : 포장/,#포장지#박스#패키지#디자인#포대
sales@creallo.com,070.8098.7074,크렐로,"인천 남동구 논현로 45 (논현동, 논현휴먼시아하늘마을3단지아파트)", ,온라인 3D프린팅 서비스입니다. 해외 파트너를 통해 시제품/목업 비용을 50% 이상 절감해 드립니다.,개발 : 시제품/목업/개발 : 3D 프린트/금속/비금속 : 플라스틱/,#3D프린팅#3D프린터#시제품#목업#프로토타이핑
lightiger0129@naver.com,010.4422.0049,주식회사오른,경기 안성시 삼죽면 개내실길 56-8, ,"포장지, 포대, 박스를 생산하는 (주)오른 입니다!",제작 : 기타 제작/개발 : 디자인/서비스 : 포장/,#포장지#박스#패키지#디자인#포대
woozzzz@naver.com,031.754.1365,럭스팩,경기 성남시 수정구 복정로 17 (복정동), ,"화장품용기 전문 컨설팅, 디자인,유통, 다품종 소량생산, 인쇄업체입니다",기타 업종 : 기타 업종/,#화장품용기#유리용기#플라스틱용기#진공용기#스포이드용기
woozzzz@naver.com,031.754.1365,럭스팩,경기 성남시 수정구 복정로 17 (복정동), ,"화장품용기 전문 컨설팅, 디자인,유통, 다품종 소량생산, 인쇄업체입니다",기타 업종 : 기타 업종/,#화장품용기#유리용기#플라스틱용기#진공용기#스포이드용기
brazingfactory@naver.com,010.5339.6456,브레이징 팩토리,경기 시흥시 두문로 56 (신천동), ,브레이징 &amp; 솔더링 재료(미국 수입품) 판매 합니다.,금속/비금속 : 금속 재료/유통 판매 : 공구 유통/,#브레이징#금속접합#브레이징재료#솔더링재료#땜재료
psk 0426@naver.com,010.7547.2669,대성산업,서울 구로구 구로중앙로40가길 17 (신도림동), 1990.07.01,"cnc선반,머시닝가공",,
mail@mail.com,031.986.2471,(주)동성실리콘,경기도 김포시 하성면 월하로859번길 146, 2014.06.09,"실리콘 고무 생산업체, 실리콘 스폰지, 가스켓, 롤러, 바이톤 팩킹 등 ",,
mail@mail.com,02.424.7799,영진앵글(주),부산광역시 기장군 정관읍 용수공단2길 35, 2016.03.18,"보관고, 진열선반, 철골앵글",,
